ky	kx	wcc_0	wcc_1
0.15000000000000002	0.625	-0.29439841087869606	0.168895379372194
0.15000000000000002	0.65	-0.2941965645186368	0.1677057245968742
0.15000000000000002	0.675	-0.2940261037732424	0.1666844852426658
0.15000000000000002	0.7000000000000001	-0.2938913730386585	0.16586616415573405
0.15000000000000002	0.7250000000000001	-0.29379582938560334	0.16527971397396846
0.15000000000000002	0.75	-0.2937419362514452	0.16494661969028895
0.15000000000000002	0.775	-0.2937310873673651	0.16487936390194016
0.15000000000000002	0.8	-0.2937635636532851	0.1650804918550315
0.15000000000000002	0.8250000000000001	-0.2938385245265883	0.1655424169255039
0.15000000000000002	0.8500000000000001	-0.29395403390611907	0.16624799654994848
0.15000000000000002	0.875	-0.2941071200589462	0.16717179048681902
0.15000000000000002	0.9	-0.29429386721809525	0.16828181698076974
0.15000000000000002	0.925	-0.29450953554801906	0.16954156955222965
0.15000000000000002	0.9500000000000001	-0.29474870462747615	0.1709120548950396
0.15000000000000002	0.9750000000000001	-0.2950054343443743	0.1723536529735872
0.15000000000000002	1.0	-0.2952734361852603	0.1738276663635717
0.17500000000000002	0.0	-0.3052078382548998	0.2463337171530524
0.17500000000000002	0.025	-0.30540398513878636	0.2466007496994197
0.17500000000000002	0.05	-0.30559421609900955	0.24686619809115568
0.17500000000000002	0.07500000000000001	-0.3057742159229663	0.2471230344123487
0.17500000000000002	0.1	-0.3059399853614075	0.24736428622901327
0.17500000000000002	0.125	-0.3060879141201265	0.24758329036672905
0.17500000000000002	0.15000000000000002	-0.3062148398650394	0.24777392840005094
0.17500000000000002	0.17500000000000002	-0.30631809423952006	0.24793083524750376
0.17500000000000002	0.2	-0.30639553737014213	0.24804957540840553
0.17500000000000002	0.225	-0.3064455825539148	0.24812678372601607
0.17500000000000002	0.25	-0.3064672127866925	0.24816026913830955
0.17500000000000002	0.275	-0.3064599905396077	0.2481490808072157
0.17500000000000002	0.30000000000000004	-0.3064240617650698	0.24809353646616042
0.17500000000000002	0.325	-0.30636015457390275	0.24799521297099075
0.17500000000000002	0.35000000000000003	-0.3062695724350288	0.24785689905569058
0.17500000000000002	0.375	-0.30615418117572707	0.24768251035348543
0.17500000000000002	0.4	-0.30601638857012753	0.2474769670189607
0.17500000000000002	0.42500000000000004	-0.3058591149578668	0.24724603495413128
0.17500000000000002	0.45	-0.3056857531867241	0.24699613287536015
0.17500000000000002	0.47500000000000003	-0.3055001162621579	0.24673410940961674
0.17500000000000002	0.5	-0.30530637143400696	0.24646699716056336
0.17500000000000002	0.525	-0.3051089600541197	0.2462017541778271
0.17500000000000002	0.55	-0.3049125033698205	0.2459450071957716
0.17500000000000002	0.5750000000000001	-0.304721695421425	0.24570281473761796
0.17500000000000002	0.6000000000000001	-0.30454118530778423	0.2454804706700182
0.17500000000000002	0.625	-0.30437545217461387	0.24528236869187492
0.17500000000000002	0.65	-0.3042286772602895	0.24511194418412183
0.17500000000000002	0.675	-0.3041046180993295	0.2449717010023186
0.17500000000000002	0.7000000000000001	-0.3040064904443088	0.24486331755647117
0.17500000000000002	0.7250000000000001	-0.30393686355359656	0.24478781105567501
0.17500000000000002	0.75	-0.3038975741654675	0.2447457249871327
0.17500000000000002	0.775	-0.3038896637346474	0.24473729740552322
0.17500000000000002	0.8	-0.30391334238183465	0.24476257008293567
0.17500000000000002	0.8250000000000001	-0.30396798157992533	0.24482141178915068
0.17500000000000002	0.8500000000000001	-0.3040521359911781	0.24491344992377667
0.17500000000000002	0.875	-0.3041635932221638	0.2450379273939964
0.17500000000000002	0.9	-0.304299448728304	0.24519351932140637
0.17500000000000002	0.925	-0.30445620181105465	0.24537815214482048
0.17500000000000002	0.9500000000000001	-0.30462986770850364	0.24558886486135778
0.17500000000000002	0.9750000000000001	-0.30481610024256706	0.24582174093044762
0.17500000000000002	1.0	-0.30501031936874207	0.24607192416002804
0.2	0.0	-0.31371850508933713	0.3076487700227995
0.2	0.025	-0.3138521860005382	0.30689846673801113
0.2	0.05	-0.3139816790050832	0.3062032215584325
0.2	0.07500000000000001	-0.3141040760166774	0.30557360256079613
0.2	0.1	-0.31421669113374895	0.3050171422414394
0.2	0.125	-0.31431710626537673	0.30453886075885905
0.2	0.15000000000000002	-0.3144032077636457	0.30414182582029553
0.2	0.17500000000000002	-0.3144732148951386	0.3038276942661364
0.2	0.2	-0.31452570117723017	0.30359719642317456
0.2	0.225	-0.31455960966665225	0.30345053763043667
0.2	0.25	-0.3145742632242321	0.3033877013623638
0.2	0.275	-0.3145693706049554	0.3034086452646164
0.2	0.30000000000000004	-0.3145450289588832	0.30351338581267556
0.2	0.325	-0.31450172300489926	0.303701970052414
0.2	0.35000000000000003	-0.3144403207892176	0.30397433491633263
0.2	0.375	-0.31436206559941954	0.30433005688231707
0.2	0.4	-0.31426856330725084	0.3047679982003224
0.2	0.42500000000000004	-0.31416176419096603	0.30528586145807146
0.2	0.45	-0.3140439381665522	0.3058796726546169
