ky	kz	wcc_0	wcc_1
0.225	0.4	-4.1633363423443494e-17	6.491660507756953e-18
0.225	0.42500000000000004	4.1660468477755594e-17	6.93889390390726e-17
0.225	0.45	-6.8142106540714e-17	1.5265566588595902e-16
0.225	0.47500000000000003	-5.551115123125797e-17	-1.907653722488245e-16
0.225	0.5	-1.6837659738699876e-16	-5.551115123125795e-17
0.225	0.525	1.1048020137627291e-16	1.6653345369377316e-16
0.225	0.55	-5.518589057951204e-17	-5.551115123125766e-16
0.225	0.5750000000000001	-5.312590645178978e-17	-5.551115123125784e-16
0.225	0.6000000000000001	1.110223024625155e-16	4.408366033326049e-16
0.225	0.625	-6.201636426617083e-17	3.3306690738754736e-16
0.225	0.65	-5.854691731421726e-17	-1.1102230246251581e-15
0.225	0.675	-5.540273101400925e-17	-1.443289932012702e-15
0.225	0.7000000000000001	3.3100692325982465e-16	-1.8873791418627653e-15
0.225	0.7250000000000001	-2.775557561562903e-16	-2.780978572425322e-16
0.225	0.75	2.151057110211241e-16	-5.551115123125781e-16
